source,target,weight
Sandy Springs Station,Perimeter Center West at Perimeter Center Pkwy,0.471
Riverdale Park and Ride,Central Ave at Garnett St,12.429
Peachtree Center Ave at Peachtree St,Peachtree St at Renaissance Pkwy,0.349
Peachtree St at Renaissance Pkwy,Ponce De Leon Ave at W Peachtree St,0.304
Ponce De Leon Ave at W Peachtree St,Spring St just before Linden Ave,0.169
Dacula Park and Ride (Hebron Church),North Ave at Peachtree St,31.621
Hickory Grove Park and Ride,Williams St at Baker St,24.464
Hickory Grove Park and Ride,Civic Center Station (NB),24.31
Perimeter Center West at Perimeter Center Pkwy,Perimeter Center Pkwy Office Park (S),0.143
Perimeter Center Pkwy Office Park (S),Dunwoody Station,0.297
17th St at Spring St,17th St at Market St,0.332
17th St at Market St,Town Center/Big Shanty Park and Ride,19.156
17th St at Market St,Hickory Grove Park and Ride,22.648
Thornton Rd (N) at North Blairs Bridge Rd,Thornton Rd at Oak Ridge Rd,0.314
Thornton Rd at Oak Ridge Rd,Thornton Rd (N) at Maxham Rd,0.918
Thornton Rd (N) at Maxham Rd,Thornton Rd at Westfork Blvd,0.402
Thornton Rd at Westfork Blvd,Thornton Rd (N) at Bankhead Hwy,0.855
Thornton Rd (N) at Bankhead Hwy,Powder Springs Park and Ride,5.868
MARIETTA BLVD NW @ MOORES MILL RD NW,BOLTON RD NW @ MOORES MILL RD,0.114
MARIETTA BLVD NW @ MOORES MILL RD NW,BOLTON RD NW @ MARIETTA BLVD NW,0.322
BOLTON RD NW @ MOORES MILL RD,BOLTON RD NW @ CORONET WAY NW,0.131
BOLTON RD NW @ CORONET WAY NW,CORONET WAY @ PINE GROVE DR,0.185
BOLTON RD NW @ CORONET WAY NW,DEFOORS FERRY RD @ PINE GROVE,0.121
CORONET WAY @ PINE GROVE DR,MARIETTA BLVD NW @ CORONET WAY NW,0.125
CORONET WAY @ PINE GROVE DR,MARIETTA BLVD @ CORONET WAY,0.061
MARIETTA BLVD NW @ CORONET WAY NW,MARIETTA BLVD @ 2210,0.215
MARIETTA BLVD @ 2210,MARIETTA BLVD NW @ 2130,0.229
MARIETTA BLVD NW @ 2130,MARIETTA BLVD @ CHATTAHOOCHEE AVE,0.245
MARIETTA BLVD NW @ 2130,CHATTAHOOCHEE AVE NW @ MARIETTA BLVD,0.293
MARIETTA BLVD @ CHATTAHOOCHEE AVE,MARIETTA BLVD @ PLYMOUTH RD,0.338
MARIETTA BLVD @ CHATTAHOOCHEE AVE,MARIETTA BLVD @ 2095,0.179
MARIETTA BLVD @ PLYMOUTH RD,MARIETTA BLVD @ CARROLL DR,0.236
MARIETTA BLVD @ PLYMOUTH RD,MARIETTA BLVD @ CHATTAHOOCHEE AVE,0.338
MARIETTA BLVD @ CARROLL DR,MARIETTA BLVD @ 1650,0.142
MARIETTA BLVD @ CARROLL DR,MARIETTA BLVD @ PLYMOUTH RD,0.236
MARIETTA BLVD @ 1650,MARIETTA BLVD @ 1594,0.159
MARIETTA BLVD @ 1594,MARIETTA BLVD @ TACOMA DR,0.259
MARIETTA BLVD @ TACOMA DR,MARIETTA BLVD @ ELAINE AVE,0.242
MARIETTA BLVD @ TACOMA DR,MARIETTA BLVD @ 1595,0.247
MARIETTA BLVD @ ELAINE AVE,W MARIETTA ST NW @ RICE ST NW,0.45
W MARIETTA ST NW @ RICE ST NW,W MARIETTA ST NW @ LONGLEY AVE NW,0.175
W MARIETTA ST NW @ LONGLEY AVE NW,W MARIETTA ST NW @ HERNDON ST NW,0.136
W MARIETTA ST NW @ LONGLEY AVE NW,MARIETTA BLVD @ HUFF RD,0.372
W MARIETTA ST NW @ LONGLEY AVE NW,MARIETTA BLVD NW @ W MARIETTA ST NW,0.236
W MARIETTA ST NW @ HERNDON ST NW,W MARIETTA ST NW @ JOSEPH E LOWERY BLVD NW,0.241
W MARIETTA ST NW @ JOSEPH E LOWERY BLVD NW,JOSEPH E LOWERY BLVD @ 841,0.265
W MARIETTA ST NW @ JOSEPH E LOWERY BLVD NW,W MARIETTA ST @ 887,0.137
JOSEPH E LOWERY BLVD @ 841,JOSEPH E LOWERY BLVD @ WHEELER ST,0.361
JOSEPH E LOWERY BLVD @ 841,JOSEPH E LOWERY BLVD NW @ W MARIETTA ST NW,0.193
JOSEPH E LOWERY BLVD @ WHEELER ST,JOSEPH E LOWERY BLVD NW @ FOX ST NW,0.153
JOSEPH E LOWERY BLVD NW @ FOX ST NW,JOSEPH E LOWERY BLVD NW @ NORTH AVE NW,0.151
JOSEPH E LOWERY BLVD NW @ FOX ST NW,JOSEPH E LOWERY BLVD NW @ WHEELER ST NW,0.132
JOSEPH E LOWERY BLVD NW @ NORTH AVE NW,JOSEPH E LOWERY BLVD NW @ NEAL ST NW,0.203
JOSEPH E LOWERY BLVD NW @ NORTH AVE NW,JOSEPH E LOWERY BLVD NW @ FOX ST NW,0.151
JOSEPH E LOWERY BLVD NW @ NEAL ST NW,JOSEPH E LOWERY BLVD NW @ JOSEPH E BOONE BLVD,0.251
JOSEPH E LOWERY BLVD NW @ NEAL ST NW,JOSEPH E LOWERY BLVD NW @ NORTH AVE NW,0.203
JOSEPH E LOWERY BLVD NW @ JOSEPH E BOONE BLVD,JOSEPH E LOWERY BLVD NW @ THURMOND ST NW,0.215
JOSEPH E LOWERY BLVD NW @ JOSEPH E BOONE BLVD,JOSEPH E LOWERY BLVD NW @ NEAL ST NW,0.251
JOSEPH E LOWERY BLVD NW @ THURMOND ST NW,JOSEPH E LOWERY BLVD NW @ MAYSON TURNER RD NW,0.15
JOSEPH E LOWERY BLVD NW @ THURMOND ST NW,JOSEPH E LOWERY BLVD NW @ JOSEPH E BOONE BLVD,0.215
JOSEPH E LOWERY BLVD NW @ MAYSON TURNER RD NW,ASHBY STATION - SOUTHBOUND,0.125
ASHBY STATION - SOUTHBOUND,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,0.293
JOSEPH E LOWERY BLVD @ BECKWITH ST SW,JOSEPH E LOWERY BLVD @ PARSONS ST SW,0.099
JOSEPH E LOWERY BLVD @ BECKWITH ST SW,JOSEPH E LOWERY BLVD @ MITCHELL ST SW,0.088
JOSEPH E LOWERY BLVD @ PARSONS ST SW,JOSEPH E LOWERY BLVD @ ASHBY GRV SW,0.043
JOSEPH E LOWERY BLVD @ PARSONS ST SW,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,0.099
JOSEPH E LOWERY BLVD @ ASHBY GRV SW,JOSEPH E LOWERY BLVD @ FAIR ST SW,0.055
JOSEPH E LOWERY BLVD @ FAIR ST SW,JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW,0.164
