source,target,weight
WINDWARD CONCOURSE @ ALDERMAN DR,WINDWARD CONCOURSE @ 1100,0.29
MCGINNIS FERRY RD @ WINDWARD CONCOURSE,MCGINNIS FERRY RD @ TIDWELL DR,0.349
MCGINNIS FERRY RD @ TIDWELL DR,MCGINNIS FERRY RD @ DEERFIELD POINT D,0.095
MCGINNIS FERRY RD @ TIDWELL DR,WINDWARD CONCOURSE @ MCGINNIS FERRY R,0.389
MCGINNIS FERRY RD @ DEERFIELD POINT D,MCGINNIS FERRY RD @ BETHANY BND,0.353
MCGINNIS FERRY RD @ BETHANY BND,MORRIS RD @ 13300,0.106
MORRIS RD @ 13300,MORRIS RD @ NEW FAWN LN,0.272
MORRIS RD @ NEW FAWN LN,MORRIS RD @ WEBB RD,0.158
MORRIS RD @ WEBB RD,MORRIS RD @ WEBB RD,0.0
MORRIS RD @ WEBB RD,MORRIS RD @ 13010,0.281
MORRIS RD @ WEBB RD,MORRIS RD @ DEER TRL,0.203
MORRIS RD @ 13010,MORRIS RD @ ONE VERIZON PL,0.382
MORRIS RD @ ONE VERIZON PL,WINDWARD PKWY @ WESTSIDE PKWY,0.238
MORRIS RD @ ONE VERIZON PL,MORRIS RD @ 13560,0.423
WINDWARD PKWY @ 5555,NORTH SPRINGS STATION,11.137
MORRIS RD @ 13560,MORRIS RD @ WEBB RD,0.247
MORRIS RD @ DEER TRL,MORRIS RD @ 13125,0.17
MORRIS RD @ 13125,MORRIS RD @ BETHANY RD,0.194
MORRIS RD @ BETHANY RD,MCGINNIS FERRY RD @ DEERFIELD POINT DR,0.283
MCGINNIS FERRY RD @ DEERFIELD POINT DR,MCGINNIS FERRY RD @ TIDWELL DR,0.126
WINDWARD CONCOURSE @ MCGINNIS FERRY R,WINDWARD CONCOURSE @ ALDERMAN DR,0.108
WINDWARD PLZ @ 4025,WINDWARD PKWY @ ALDERMAN DR,0.224
WINDWARD PKWY @ ALDERMAN DR,WINDWARD PKWY @ MARCONI DR,0.425
SANDY SPRINGS STATION,MT VERNON HWY NE @ CRESTLINE PKWY NE,0.333
SANDY SPRINGS STATION,NORTH SPRINGS STATION,0.977
SANDY SPRINGS STATION,DUNWOODY STATION,0.831
SANDY SPRINGS STATION,EAST POINT STATION,18.37
SANDY SPRINGS STATION,BROOKHAVEN-OGLETHORPE STATION,5.007
SANDY SPRINGS STATION,ARTS CENTER STATION,10.065
SANDY SPRINGS STATION,MIDTOWN STATION,10.613
SANDY SPRINGS STATION,LINDBERGH CENTER STATION,7.562
SANDY SPRINGS STATION,AIRPORT STATION,20.872
SANDY SPRINGS STATION,COLLEGE PARK STATION,20.245
SANDY SPRINGS STATION,GARNETT STATION,12.911
SANDY SPRINGS STATION,FIVE POINTS STATION,12.512
SANDY SPRINGS STATION,PEACHTREE CENTER STATION,12.188
SANDY SPRINGS STATION,CHAMBLEE STATION,3.989
SANDY SPRINGS STATION,OAKLAND CITY STATION,15.433
SANDY SPRINGS STATION,WEST END STATION,14.005
SANDY SPRINGS STATION,BUCKHEAD STATION,5.874
SANDY SPRINGS STATION,NORTH AVENUE STATION,11.254
SANDY SPRINGS STATION,DORAVILLE STATION,4.524
SANDY SPRINGS STATION,MEDICAL CENTER STATION,1.468
SANDY SPRINGS STATION,CIVIC CENTER STATION,11.64
SANDY SPRINGS STATION,LENOX STATION,5.995
SANDY SPRINGS STATION,LAKEWOOD-FT MCPHERSON STATION,16.61
MT VERNON HWY NE @ CRESTLINE PKWY NE,MT VERNON HWY NE @ BARFIELD RD NE,0.279
MT VERNON HWY NE @ CRESTLINE PKWY NE,SANDY SPRINGS STATION,0.333
MT VERNON HWY NE @ BARFIELD RD NE,MT VERNON HWY NE @ GLENRIDGE DR NE,0.406
MT VERNON HWY NE @ BARFIELD RD NE,MT VERNON HWY NE @ CRESTLINE PKWY NE,0.279
MT VERNON HWY NE @ GLENRIDGE DR NE,MT VERNON HWY NE @ VERNON WOODS DR NE,0.164
MT VERNON HWY NE @ GLENRIDGE DR NE,MT VERNON HWY NE @ BARFIELD RD NE,0.406
MT VERNON HWY NE @ VERNON WOODS DR NE,MT VERNON HWY NE @ BLUE STONE RD NE,0.665
MT VERNON HWY NE @ VERNON WOODS DR NE,MT VERNON HWY NE @ GLENRIDGE DR NE,0.164
MT VERNON HWY NE @ BLUE STONE RD NE,MT VERNON HWY @ LAKE FORREST DR,0.285
MT VERNON HWY @ LAKE FORREST DR,MT VERNON HWY NW @ HAMMOND DR NW,0.355
MT VERNON HWY @ LAKE FORREST DR,MT VERNON HWY NE @ BLUE STONE RD,0.256
MT VERNON HWY NW @ HAMMOND DR NW,MT VERNON HWY @ HEARDS FERRY RD NW,0.374
MT VERNON HWY NW @ HAMMOND DR NW,MT VERNON HWY @ LAKE FORREST DR,0.355
MT VERNON HWY @ HEARDS FERRY RD NW,MT VERNON HWY NW @ POWERS FERRY RD NW,1.032
MT VERNON HWY @ HEARDS FERRY RD NW,MT VERNON HWY NW @ HAMMOND DR NW,0.374
MT VERNON HWY NW @ POWERS FERRY RD NW,POWERS FERRY RD @ RAIDER DR,0.452
POWERS FERRY RD @ RAIDER DR,POWERS FERRY RD @ DUPREE DR,0.665
POWERS FERRY RD @ RAIDER DR,POWERS FERRY RD NW @ MT VERNON HWY NW,0.393
POWERS FERRY RD @ DUPREE DR,POWERS FERRY RD @ BRICKSTONE DR,0.246
POWERS FERRY RD @ BRICKSTONE DR,POWERS FERRY RD NW @ NEW NORTHSIDE DR NW,0.198
POWERS FERRY RD NW @ NEW NORTHSIDE DR NW,INTERSTATE NORTH PKWY @ 5665,0.288
POWERS FERRY RD NW @ NEW NORTHSIDE DR NW,POWERS FERRY RD NW @ BRICKSTONE DR NW,0.202
INTERSTATE NORTH PKWY @ 5665,INTERSTATE NORTH PKWY @ 5500,0.156
INTERSTATE NORTH PKWY @ 5500,RIVEREDGE PKWY NW @ 1600,0.25
RIVEREDGE PKWY NW @ 1600,RIVEREDGE PKWY NW @ 2100,0.122
RIVEREDGE PKWY NW @ 2100,NORTHSIDE DR @ INTERSTATE NORTH PKWY,0.34
NORTHSIDE DR @ INTERSTATE NORTH PKWY,POWERS FERRY RD NW @ NEW NORTHSIDE DR NW,0.288
POWERS FERRY RD NW @ BRICKSTONE DR NW,POWERS FERRY RD NW @ DUPREE DR NW,0.302
POWERS FERRY RD NW @ DUPREE DR NW,POWERS FERRY RD @ RAIDER DR,0.606
POWERS FERRY RD NW @ MT VERNON HWY NW,MT VERNON HWY NW @ GLEN ERROL RD NW,0.453
MT VERNON HWY NW @ GLEN ERROL RD NW,MT VERNON HWY @ HEARDS FERRY RD NW,0.603
MT VERNON HWY NE @ BLUE STONE RD,MT VERNON HWY NE @ ROSWELL RD NE,0.156
MT VERNON HWY NE @ ROSWELL RD NE,JOHNSON FERRY RD @ HARLESTON RD,0.251
CHAMBLEE DUNWOODY RD @ DUNWOODY VILLAGE PKWY,CHAMBLEE DUNWOODY RD @ NANDINA LN,0.122
CHAMBLEE DUNWOODY RD @ NANDINA LN,CHAMBLEE DUNWOODY RD @ MT VERNON RD,0.115
CHAMBLEE DUNWOODY RD @ NANDINA LN,MT VERNON RD @ VERNON RIDGE DR,0.526
CHAMBLEE DUNWOODY RD @ MT VERNON RD,ASHFORD DUNWOODY RD @ ASHFORD CTR N,0.385
ASHFORD DUNWOODY RD @ ASHFORD CTR N,ASHFORD DUNWOODY RD @ ASHFORD CENTER PKWY,0.186
ASHFORD DUNWOODY RD @ ASHFORD CTR N,ASHFORD DUNWOODY RD @ MT VERNON RD,0.082
ASHFORD DUNWOODY RD @ ASHFORD CENTER PKWY,ASHFORD DUNWOODY RD @ ASHFORD GABLES,0.158
ASHFORD DUNWOODY RD @ ASHFORD GABLES,ASHFORD DUNWOODY RD @ ASHWOOD PKWY,0.194
ASHFORD DUNWOODY RD @ ASHWOOD PKWY,ASHFORD DUNWOODY RD @ MEADOW LANE RD,0.127
ASHFORD DUNWOODY RD @ MEADOW LANE RD,PERIMETER CTR PL NE @ MEADOW LANE RD,0.124
ASHFORD DUNWOODY RD @ MEADOW LANE RD,ASHFORD DUNWOODY RD @ ASHFORD PKWY,0.145
PERIMETER CTR PL NE @ MEADOW LANE RD,PERIMETER CTR PL @ PERIMETER CTR WEST,0.167
PERIMETER CTR PL NE @ MEADOW LANE RD,ASHFORD DUNWOODY RD @ MEADOW LANE RD,0.124
PERIMETER CTR PL @ PERIMETER CTR WEST,PERIMETER CTR W @ 90,0.198
PERIMETER CTR W @ 90,PERIMETER CTR E @ ASHFORD DUNWOODY,0.148
PERIMETER CTR E @ ASHFORD DUNWOODY,PERIMETER CTR E @ 14,0.235
PERIMETER CTR E @ ASHFORD DUNWOODY,ASHFORD DUNWOODY RD @ RAVINIA DR,0.299
PERIMETER CTR E @ 14,PERIMETER CTR E @ 24,0.114
PERIMETER CTR E @ 24,PERIMETER CTR E @ 53,0.287
PERIMETER CTR E @ 24,PERIMETER CENTER E @ 8,0.166
PERIMETER CTR E @ 53,PERIMETER CTR E @ 72,0.223
PERIMETER CTR E @ 72,PERIMETER CTR E @ ASHFORD DUNWOODY,0.202
ASHFORD DUNWOODY RD @ RAVINIA DR,ASHFORD DUNWOODY RD @ HAMMOND DR,0.105
ASHFORD DUNWOODY RD @ HAMMOND DR,DUNWOODY STATION,0.313
ASHFORD DUNWOODY RD NE @ RAVINIA DR,PERIMETER CTR E @ ASHFORD DUNWOODY RD,0.188
PERIMETER CTR E @ ASHFORD DUNWOODY RD,PERIMETER CTR E @ 74,0.186
PERIMETER CTR E @ ASHFORD DUNWOODY RD,PERIMETER CTR W @ 111,0.23
PERIMETER CTR E @ 74,PERIMETER CTR E @ 64,0.206
PERIMETER CTR E @ 64,PERIMETER CTR E @ LINCOLN PKWY E,0.117
PERIMETER CTR E @ LINCOLN PKWY E,PERIMETER CTR E @ 50,0.158
PERIMETER CTR E @ 50,PERIMETER CTR E @ 24,0.098
PERIMETER CENTER E @ 8,PERIMETER CTR E @ ASHFORD DUNWOODY RD,0.313
PERIMETER CTR W @ 111,PERIMETER CTR W @ PERIMETER CTR PL,0.109
PERIMETER CTR W @ PERIMETER CTR PL,PERIMETER CTR PL @ PERIMETER CTR W,0.04
PERIMETER CTR PL @ PERIMETER CTR W,PERIMETER CTR PL @ MEADOW LANE RD,0.178
PERIMETER CTR PL @ MEADOW LANE RD,PERIMETER CTR PL NE @ MEADOW LANE RD,0.109
ASHFORD DUNWOODY RD @ ASHFORD PKWY,ASHFORD DUNWOODY RD @ VALLEY VIEW RD,0.141
ASHFORD DUNWOODY RD @ VALLEY VIEW RD,ASHFORD DUNWOODY RD @ ASHFORD CENTER,0.25
ASHFORD DUNWOODY RD @ ASHFORD CENTER,ASHFORD DUNWOODY RD @ ASHFORD CTR N,0.127
ASHFORD DUNWOODY RD @ MT VERNON RD,MT VERNON RD @ CHAMBLEE DUNWOODY RD,0.294
MT VERNON RD @ CHAMBLEE DUNWOODY RD,DUNWOODY VILLAGE PKWY @ MT VERNON RD,0.2
DUNWOODY VILLAGE PKWY @ MT VERNON RD,DUNWOODY VILLAGE PKWY @ 1424,0.135
DUNWOODY VILLAGE PKWY @ 1424,CHAMBLEE DUNWOODY RD @ DUNWOODY VILLAGE PKWY,0.21
MT VERNON RD @ MEADOW LAKE DR,MT VERNON RD @ STRATHAM DR,0.175
MT VERNON RD @ MEADOW LAKE DR,MT VERNON RD @ CEDAR CHASE,0.516
MT VERNON RD @ STRATHAM DR,MT VERNON RD @ MANHASSET DR,0.282
MT VERNON RD @ STRATHAM DR,MT VERNON RD @ MEADOW LAKE DR,0.175
MT VERNON RD @ MANHASSET DR,MT VERNON RD @ VERNON RIDGE DR,0.442
MT VERNON RD @ VERNON RIDGE DR,DUNWOODY VILLAGE PKWY @ MT VERNON RD,0.303
MT VERNON RD @ VERNON RIDGE DR,MT VERNON RD @ VERMACK RD,0.415
MT VERNON RD @ VERMACK RD,MT VERNON RD @ STRATHAM DR,0.308
JAMES JACKSON PKWY @ JAMES JACKSON CT,JAMES JACKSON PKWY NW @ CREEKSIDE DR NW,0.495
JAMES JACKSON PKWY NW @ CREEKSIDE DR NW,JAMES JACKSON PKWY @ NORTHWEST DR,0.268
JAMES JACKSON PKWY @ NORTHWEST DR,JAMES JACKSON PKWY NW @ NORTHWEST DR NW,0.093
JAMES JACKSON PKWY NW @ NORTHWEST DR NW,JAMES JACKSON PKWY @ HIGHTOWER RD,0.719
JAMES JACKSON PKWY @ 954,NORTHWEST DR NW @ 1190,0.511
NORTHWEST DR NW @ 1190,NORTHWEST DR NW @ 1285,0.131
NORTHWEST DR NW @ 1285,NORTHWEST DR @ 1304,0.111
NORTHWEST DR @ 1304,NORTHWEST DR NW @ 1341,0.133
NORTHWEST DR NW @ 1341,NORTHWEST DR NW @ MANGO CIR,0.113
NORTHWEST DR NW @ MANGO CIR,NORTHWEST DR @ 1415,0.115
NORTHWEST DR @ 1415,NORTHWEST DR @ 1514,0.15
NORTHWEST DR @ 1514,NORTHWEST DR @ BOLTON RD,0.334
NORTHWEST DR @ BOLTON RD,BOLTON RD NW @ PARROTT AVE,0.057
BOLTON RD NW @ PARROTT AVE,BOLTON RD @ REY ST,0.067
BOLTON RD @ REY ST,BOLTON RD NW @ SAM ST,0.083
BOLTON RD NW @ SAM ST,BROWNTOWN RD @ REY ST,0.135
SWALLOW CIR @ FINCH DR,SWALLOW CIR @ JAY PL,0.169
SWALLOW CIR @ FINCH DR,SWALLOW CIR SE @ HARPER RD SE,0.151
SWALLOW CIR @ JAY PL,SWALLOW CIR @ FINCH DR,0.169
SWALLOW CIR SE @ HARPER RD SE,HARPER RD SE @ SWALLOW CIR SE,0.055
HARPER RD SE @ SWALLOW CIR SE,HARPER RD SE @ 209,0.196
HARPER RD SE @ SWALLOW CIR SE,SWALLOW CIR SE @ 2298,0.082
HARPER RD SE @ 209,HARPER RD @ MEADOR AVE,0.113
HARPER RD @ MEADOR AVE,HARPER RD SE @ 359,0.17
HARPER RD SE @ 359,HARPER RD @ BROWNS MILL RD,0.204
HARPER RD @ BROWNS MILL RD,BROWNS MILL RD SE @ 2045,0.103
LAKEWOOD AVE SE @ LIVERMORE ST SE,LAKEWOOD AVE SE @ RICHMOND AVE SE,0.154
LAKEWOOD AVE SE @ LIVERMORE ST SE,JONESBORO RD SE @ WHATLEY ST SE,0.071
LAKEWOOD AVE SE @ LIVERMORE ST SE,LAKEWOOD AVE @ ADAIR AVE,0.095
LAKEWOOD AVE SE @ RICHMOND AVE SE,LAKEWOOD AVE SE @ ANNE ST SE,0.215
LAKEWOOD AVE SE @ ANNE ST SE,LAKEWOOD AVE SE @ MILLER REED AVE SE,0.095
LAKEWOOD AVE SE @ ANNE ST SE,LAKEWOOD AVE SE @ DOROTHY ST SE,0.156
LAKEWOOD AVE SE @ MILLER REED AVE SE,LAKEWOOD AVE SE @ HARRIETT ST SE,0.081
LAKEWOOD AVE SE @ MILLER REED AVE SE,LAKEWOOD AVE SE @ ANNE ST SE,0.095
LAKEWOOD AVE SE @ HARRIETT ST SE,LAKEWOOD AVE SE @ MCDONOUGH BLVD SE,0.098
LAKEWOOD AVE SE @ HARRIETT ST SE,LAKEWOOD AVE SE @ MILLER REED AVE SE,0.081
LAKEWOOD AVE SE @ MCDONOUGH BLVD SE,LAKEWOOD AVE SE @ MILTON AVE SE,0.315
LAKEWOOD AVE SE @ MILTON AVE SE,MILTON AVE SE @ 79,0.177
MILTON AVE SE @ 79,WEYMAN AVE @ HANK AARON DR,0.24
MILTON AVE SE @ 79,MILTON AVE SE @ LAKEWOOD AVE SE,0.152
UNIVERSITY AVE @ BOOKER AVE,UNIVERSITY AVE @ GARIBALDI ST,0.104
UNIVERSITY AVE @ BOOKER AVE,PRYOR RD @ UNIVERSITY AVE,0.249
UNIVERSITY AVE @ GARIBALDI ST,UNIVERSITY AVE @ MCDANIEL ST,0.115
UNIVERSITY AVE @ GARIBALDI ST,UNIVERSITY AVE @ BOOKER AVE,0.104
UNIVERSITY AVE @ MCDANIEL ST,MCDANIEL ST @ ROY ST,0.134
MCDANIEL ST @ ROY ST,MCDANIEL ST @ FLETCHER ST,0.111
MCDANIEL ST @ FLETCHER ST,MCDANIEL ST SW @ ARTHUR ST SW,0.147
MCDANIEL ST @ FLETCHER ST,MCDANIEL ST SW @ ROY ST SW,0.102
MCDANIEL ST SW @ ARTHUR ST SW,MCDANIEL ST SW @ MARY ST SW,0.095
MCDANIEL ST SW @ ARTHUR ST SW,MCDANIEL ST @ FLETCHER ST,0.147
MCDANIEL ST SW @ MARY ST SW,MCDANIEL ST SW @ GARDNER ST SW,0.08
MCDANIEL ST SW @ MARY ST SW,MCDANIEL ST SW @ ARTHUR ST SW,0.095
MCDANIEL ST SW @ GARDNER ST SW,MCDANIEL ST SW @ ROCKWELL ST SW,0.114
MCDANIEL ST SW @ GARDNER ST SW,MCDANIEL ST SW @ MARY ST SW,0.08
MCDANIEL ST SW @ ROCKWELL ST SW,MCDANIEL ST @ STEPHENS ST,0.144
MCDANIEL ST SW @ ROCKWELL ST SW,MCDANIEL ST SW @ GARDNER ST SW,0.114
MCDANIEL ST @ STEPHENS ST,STEPHENS ST SW @ COLEMAN ST SW,0.129
STEPHENS ST SW @ COLEMAN ST SW,STEPHENS ST SW @ HUMPHRIES ST SW,0.081
STEPHENS ST SW @ COLEMAN ST SW,MCDANIEL ST SW @ STEPHENS ST SW,0.124
STEPHENS ST SW @ HUMPHRIES ST SW,HUMPHRIES ST @ RALPH D ABERNATHY BLVD,0.133
HUMPHRIES ST @ RALPH D ABERNATHY BLVD,RALPH D ABERNATHY BLVD @ MURPHY AVE,0.423
POLAR ROCK TER SW @ POLAR ROCK RD SW,POLAR ROCK RD SW @ BICKNELL DR SW,0.152
POLAR ROCK RD SW @ BICKNELL DR SW,POLAR ROCK RD SW @ PRYOR RD SW,0.119
POLAR ROCK RD SW @ BICKNELL DR SW,POLAR ROCK RD @ POLAR ROCK AVE,0.081
POLAR ROCK RD SW @ PRYOR RD SW,PRYOR RD SW @ HILLTOP DR SW,0.155
PRYOR RD SW @ HILLTOP DR SW,PRYOR RD SW @ LAKEWOOD WAY SW,0.074
PRYOR RD SW @ HILLTOP DR SW,POLAR ROCK RD SW @ BAGWELL DR SW,0.229
PRYOR RD SW @ LAKEWOOD WAY SW,LAKEWOOD WAY SW @ 215,0.102
LAKEWOOD AVE SW @ MACON DR SW,LAKEWOOD AVE SW @ 2000,0.185
LAKEWOOD AVE SW @ 2000,LAKEWOOD AVE SW @ LAKEWOOD TERR SE,0.132
LAKEWOOD AVE SW @ LAKEWOOD TERR SE,LAKEWOOD AVE @ SHADYDALE AVE,0.09
LAKEWOOD AVE @ SHADYDALE AVE,LAKEWOOD AVE SW @ TERRACE WAY SE,0.078
LAKEWOOD AVE @ SHADYDALE AVE,LAKEWOOD AVE @ OLIVE ST,0.073
LAKEWOOD AVE SW @ TERRACE WAY SE,LAKEWOOD AVE SE @ CONRAD AVE SE,0.1
LAKEWOOD AVE SE @ CONRAD AVE SE,LAKEWOOD AVE SE @ OWEN ST SE,0.119
LAKEWOOD AVE SE @ OWEN ST SE,LAKEWOOD AVE SE @ CLAIRE DR SE,0.067
LAKEWOOD AVE SE @ CLAIRE DR SE,LAKEWOOD AVE SE @ ADAIR AVE SE,0.052
LAKEWOOD AVE SE @ ADAIR AVE SE,LAKEWOOD AVE SE @ LIVERMORE ST SE,0.119
HUMPHRIES ST SW @ STEPHENS ST SW,STEPHENS ST SW @ COLEMAN ST SW,0.086
MCDANIEL ST SW @ STEPHENS ST SW,MCDANIEL ST SW @ ROCKWELL ST SW,0.143
MCDANIEL ST SW @ ROY ST SW,MCDANIEL ST SW @ UNIVERSITY AVE SW,0.144
MCDANIEL ST SW @ UNIVERSITY AVE SW,UNIVERSITY AVE @ GARIBALDI ST,0.141
MILTON AVE SE @ LAKEWOOD AVE SE,LAKEWOOD AVE SE @ 1265,0.171
LAKEWOOD AVE SE @ 1265,LAKEWOOD AVE SE @ HARRIETT ST SE,0.258
LAKEWOOD AVE SE @ DOROTHY ST SE,LAKEWOOD AVE SE @ LIVERMORE ST SE,0.211
HARPER RD SE @ MEADOR AVE SE,HARPER RD SE @ 204,0.086
HARPER RD SE @ 204,HARPER RD SE @ SWALLOW CIR SE,0.231
SWALLOW CIR SE @ 2298,SWALLOW CIR @ FINCH DR,0.058
LAKEWOOD AVE @ ADAIR AVE,LAKEWOOD AVE @ CLAIRE DR,0.079
LAKEWOOD AVE @ CLAIRE DR,LAKEWOOD AVE SW @ CONRAD AVE SE,0.144
LAKEWOOD AVE SW @ CONRAD AVE SE,LAKEWOOD AVE @ TERRACE WAY,0.095
LAKEWOOD AVE @ TERRACE WAY,LAKEWOOD AVE @ SHADYDALE AVE,0.105
LAKEWOOD AVE @ OLIVE ST,LAKEWOOD AVE SW @ 2081,0.146
LAKEWOOD AVE SW @ 2081,LAKEWOOD AVE SW @ LAKEWOOD WAY SW,0.198
LAKEWOOD AVE SW @ LAKEWOOD WAY SW,LAKEWOOD WAY SW @ HILLTOP DR SW,0.075
POLAR ROCK RD SW @ BAGWELL DR SW,POLAR ROCK RD SW @ BICKNELL DR SW,0.053
POLAR ROCK RD @ POLAR ROCK AVE,POLAR ROCK AVE SW @ POLAR ROCK PL,0.116
POLAR ROCK AVE SW @ POLAR ROCK PL,POLAR ROCK AVE @ POLAR ROCK PL,0.077
POLAR ROCK AVE @ POLAR ROCK PL,POLAR ROCK AVE SW @ 2311,0.095
POLAR ROCK AVE SW @ 2311,POLAR ROCK AVE SW @ POLAR ROCK DR SW,0.087
POLAR ROCK AVE SW @ POLAR ROCK DR SW,POLAR ROCK TER SW @ POLAR ROCK DR SW,0.103
POLAR ROCK TER SW @ POLAR ROCK DR SW,POLAR ROCK TER SW @ POLAR ROCK PL SW,0.114
POLAR ROCK TER SW @ POLAR ROCK PL SW,POLAR ROCK TER @ POLAR ROCK RD,0.113
POLAR ROCK TER @ POLAR ROCK RD,POLAR ROCK TER SW @ POLAR ROCK RD SW,0.101
MYRTLE DR @ 1881,MYRTLE DR @ 1890,0.06
MYRTLE DR @ 1890,ALISON CT SW @ MYRTLE DR SW,0.143
ALISON CT SW @ MYRTLE DR SW,ALISON CT @ PLAZA LN SW,0.109
ALISON CT @ PLAZA LN SW,ALISON CT @ 1935,0.094
ALISON CT @ 1935,STANTON RD @ ALISON CT,0.182
ALISON CT @ 1935,ALISON CT @ PLAZA LN,0.083
STANTON RD @ ALISON CT,STANTON RD @ SWEETBRIAR CIR,0.118
STANTON RD @ ALISON CT,STANTON RD @ ALISON CT,0.0
STANTON RD @ ALISON CT,ALISON CT @ 1935,0.182
STANTON RD @ SWEETBRIAR CIR,STANTON RD @ MCCLELLAND AVE,0.147
STANTON RD @ SWEETBRIAR CIR,STANTON RD @ ALISON CT,0.118
STANTON RD @ MCCLELLAND AVE,STANTON RD @ HAWTHORNE TRL,0.089
STANTON RD @ MCCLELLAND AVE,STANTON RD @ SWEETBRIAR CIR,0.147
STANTON RD @ HAWTHORNE TRL,STANTON RD @ MEADOW CROSSING,0.085
STANTON RD @ MEADOW CROSSING,STANTON RD @ LESLIE AVE,0.183
STANTON RD @ MEADOW CROSSING,STANTON RD @ BAYROSE CIR,0.079
STANTON RD @ LESLIE AVE,STANTON RD SW @ MARCEL AVE,0.08
STANTON RD @ LESLIE AVE,STANTON RD @ MEADOW CROSSING,0.183
STANTON RD SW @ MARCEL AVE,STANTON RD @ 1600,0.096
STANTON RD @ 1600,STANTON RD @ CAMPBELLTON RD,0.116
STANTON RD @ CAMPBELLTON RD,CAMPBELLTON RD SW @ RIDGEWOOD LN SW,0.079
STANTON RD @ CAMPBELLTON RD,STANTON RD @ 1665,0.151
STANTON RD @ 1665,STANTON RD @ MARCEL AVE,0.052
STANTON RD @ MARCEL AVE,STANTON RD @ LESLIE AVE,0.094
STANTON RD @ BAYROSE CIR,STANTON RD @ MCCLELLAND AVE,0.095
ALISON CT @ PLAZA LN,ALISON CT @ MYRTLE DR SW,0.132
ALISON CT @ MYRTLE DR SW,DELOWE DR SW @ ALISON CT,0.144
MYRTLE DR @ PLAZA LN,MYRTLE DR @ 1881,0.128
BARGE RD SW @ PACIFIC DR SW,BARGE RD SW @ DALE LN SW,0.069
BARGE RD SW @ PACIFIC DR SW,BARGE RD SW @ CAMPBELLTON RD SW,0.162
BARGE RD SW @ DALE LN SW,BARGE RD SW @ HIGHWOOD RD SW,0.095
BARGE RD SW @ HIGHWOOD RD SW,BARGE RD SW @ FAIRBURN RD SW,0.269
BARGE RD SW @ FAIRBURN RD SW,FAIRBURN RD SW @ HILL ACRES RD SW,0.08
BARGE RD SW @ FAIRBURN RD SW,BARGE RD SW @ BEN HILL CT,0.124
FAIRBURN RD SW @ HILL ACRES RD SW,FAIRBURN RD SW @ MT GILEAD RD SW,0.104
FAIRBURN RD SW @ MT GILEAD RD SW,FAIRBURN RD @ GLENVIEW CIR,0.136
FAIRBURN RD SW @ MT GILEAD RD SW,BARGE RD SW @ FAIRBURN RD SW,0.183
FAIRBURN RD @ GLENVIEW CIR,FAIRBURN RD @ INGLEDALE DR,0.114
FAIRBURN RD @ INGLEDALE DR,FAIRBURN RD SW @ HERITAGE VALLEY RD SW,0.069
FAIRBURN RD SW @ HERITAGE VALLEY RD SW,FAIRBURN RD SW @ MELVIN DR SW,0.159
FAIRBURN RD SW @ HERITAGE VALLEY RD SW,FAIRBURN RD SW @ GLENVIEW CIR SW,0.191
FAIRBURN RD SW @ MELVIN DR SW,FAIRBURN RD @ 1624,0.163
FAIRBURN RD @ 1624,FAIRBURN RD SW @ LANDAU LN SW,0.161
FAIRBURN RD SW @ LANDAU LN SW,FAIRBURN RD SW @ SUTTLES DR SW,0.13
FAIRBURN RD SW @ SUTTLES DR SW,FAIRBURN RD SW @ VILLAGE DR SW,0.126
FAIRBURN RD SW @ VILLAGE DR SW,FAIRBURN RD SW @ NEWHALEM ST SW,0.164
FAIRBURN RD SW @ NEWHALEM ST SW,FAIRBURN RD SW @ UTOY SPRINGS RD SW,0.134
FAIRBURN RD SW @ UTOY SPRINGS RD SW,FAIRBURN RD @ CASCADE RD,0.186
FAIRBURN RD @ CASCADE RD,FAIRBURN RD @ 1075,0.185
FAIRBURN RD @ 1075,FAIRBURN RD SW @ 1041,0.286
FAIRBURN RD SW @ 1041,FAIRBURN RD SW @ MAYS XING SW,0.219
FAIRBURN RD SW @ 1041,FAIRBURN RD SW @ CASCADE RD SW,0.32
FAIRBURN RD SW @ MAYS XING SW,FAIRBURN RD SW @ 680,0.229
FAIRBURN RD SW @ MAYS XING SW,FAIRBURN RD SW @ 1041,0.219
FAIRBURN RD SW @ 680,FAIRBURN RD SW @ BENJAMIN E MAYS DR SW,0.355
FAIRBURN RD SW @ BENJAMIN E MAYS DR SW,FAIRBURN RD SW @ 400,0.136
FAIRBURN RD SW @ BENJAMIN E MAYS DR SW,FAIRBURN RD @ 680,0.385
FAIRBURN RD SW @ 400,FAIRBURN RD SW @ 405,0.024
FAIRBURN RD SW @ 405,FAIRBURN RD SW @ 320,0.189
FAIRBURN RD SW @ 405,FAIRBURN RD SW @ BENJAMIN E MAYS DR SW,0.159
FAIRBURN RD SW @ 320,FAIRBURN RD SW @ BOULDER PARK DR SW,0.219
FAIRBURN RD SW @ 320,FAIRBURN RD SW @ 405,0.189
FAIRBURN RD SW @ BOULDER PARK DR SW,FAIRBURN RD SW @ WISTERIA LN SW,0.088
FAIRBURN RD SW @ BOULDER PARK DR SW,FAIRBURN RD SW @ 320,0.219
FAIRBURN RD SW @ WISTERIA LN SW,FAIRBURN RD SW @ HOWELL DR SW,0.222
