,stop_1,stop_2,stop1_lat,stop1_lon,stop2_lat,stop2_lon,hav_distance
319601,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE NW @ SOUTHLAND CIR NW,33.803268,-84.432123,33.801638,-84.43018,0.159
319602,CHATTAHOOCHEE AVE NW @ CARROLL DR NW,CHATTAHOOCHEE AVE NW @ SOUTHLAND CIR NW,33.803187,-84.432156,33.801638,-84.43018,0.156
319603,CHATTAHOOCHEE AVE NW @ SOUTHLAND CIR NW,CHATTAHOOCHEE AVE NW @ ELLSWORTH INDUSTRIAL BLVD,33.801638,-84.43018,33.800709,-84.427259,0.18
319604,CHATTAHOOCHEE AVE NW @ ELLSWORTH INDUSTRIAL BLVD,ELLSWORTH INDUSTRIAL BLVD @ 1530,33.800709,-84.427259,33.797324,-84.427144,0.234
319605,ELLSWORTH INDUSTRIAL BLVD @ 1530,ELLSWORTH INDUSTRIAL BLVD @ 1510,33.797324,-84.427144,33.796312,-84.427168,0.07
319606,ELLSWORTH INDUSTRIAL BLVD @ 1510,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,33.796312,-84.427168,33.792651,-84.426788,0.254
319607,ELLSWORTH INDUSTRIAL BLVD @ 1510,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,33.796312,-84.427168,33.792049,-84.426963,0.295
319608,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,ELLSWORTH INDUSTRIAL BLVD @ 1320,33.792651,-84.426788,33.791051,-84.427208,0.113
319609,ELLSWORTH INDUSTRIAL BLVD @ ELAINE AVE NW,ELLSWORTH INDUSTRIAL BLVD @ 1320,33.792049,-84.426963,33.791051,-84.427208,0.07
319610,ELLSWORTH INDUSTRIAL BLVD @ 1320,HUFF RD NW @ ELLSWORTH INDUSTRIAL BLVD NW,33.791051,-84.427208,33.788863,-84.425991,0.167
319611,HUFF RD NW @ ELLSWORTH INDUSTRIAL BLVD NW,HUFF RD @ 1088,33.788863,-84.425991,33.78924,-84.42366,0.136
319612,HUFF RD @ 1088,HUFF RD NW @ FAIRMONT AVE NW,33.78924,-84.42366,33.789627,-84.422022,0.098
319613,HUFF RD @ 1088,HUFF RD NW @ FAIRMONT AVE NW,33.78924,-84.42366,33.789456,-84.422297,0.08
319614,HUFF RD NW @ FAIRMONT AVE NW,HUFF RD NW @ ENGLISH ST NW,33.789627,-84.422022,33.789629,-84.420521,0.086
319615,HUFF RD NW @ FAIRMONT AVE NW,HUFF RD NW @ ENGLISH ST NW,33.789627,-84.422022,33.789557,-84.420391,0.094
319616,HUFF RD NW @ FAIRMONT AVE NW,HUFF RD NW @ ENGLISH ST NW,33.789456,-84.422297,33.789629,-84.420521,0.103
319617,HUFF RD NW @ FAIRMONT AVE NW,HUFF RD NW @ ENGLISH ST NW,33.789456,-84.422297,33.789557,-84.420391,0.11
319618,HUFF RD NW @ ENGLISH ST NW,HUFF RD NW @ BOYD AVE NW,33.789629,-84.420521,33.789554,-84.419086,0.083
319619,HUFF RD NW @ ENGLISH ST NW,HUFF RD NW @ BOYD AVE NW,33.789629,-84.420521,33.789513,-84.419262,0.073
319620,HUFF RD NW @ ENGLISH ST NW,HUFF RD NW @ BOYD AVE NW,33.789557,-84.420391,33.789554,-84.419086,0.075
319621,HUFF RD NW @ ENGLISH ST NW,HUFF RD NW @ BOYD AVE NW,33.789557,-84.420391,33.789513,-84.419262,0.065
319622,HUFF RD NW @ BOYD AVE NW,HUFF RD @ N ASHBY ST,33.789554,-84.419086,33.78844,-84.417165,0.135
319623,HUFF RD NW @ BOYD AVE NW,HUFF RD @ N ASHBY ST,33.789513,-84.419262,33.78844,-84.417165,0.141
319624,HUFF RD @ N ASHBY ST,HUFF RD @ FOSTER ST,33.78844,-84.417165,33.78761,-84.413418,0.223
319625,HUFF RD @ FOSTER ST,HUFF RD NW @ HOWELL MILL RD NW,33.78761,-84.413418,33.787729,-84.412134,0.074
319626,HUFF RD NW @ HOWELL MILL RD NW,14TH ST NW @ HOWELL MILL RD NW,33.787729,-84.412134,33.78585,-84.411349,0.137
319627,HUFF RD NW @ HOWELL MILL RD NW,14TH ST NW @ HOWELL MILL RD NW,33.787729,-84.412134,33.785709,-84.411057,0.153
319628,14TH ST NW @ HOWELL MILL RD NW,14TH ST NW @ NORTHSIDE DR NW,33.78585,-84.411349,33.786175,-84.407521,0.221
319629,14TH ST NW @ HOWELL MILL RD NW,14TH ST NW @ NORTHSIDE DR NW,33.785709,-84.411057,33.786175,-84.407521,0.206
319630,14TH ST NW @ NORTHSIDE DR NW,14TH ST @ MCMILLAN ST,33.786175,-84.407521,33.786177,-84.40429,0.186
319631,14TH ST NW @ NORTHSIDE DR NW,14TH ST @ MCMILLAN ST,33.786175,-84.407521,33.786249,-84.404236,0.189
319632,14TH ST @ MCMILLAN ST,14TH ST @ SNYDER ST,33.786177,-84.40429,33.786143,-84.401267,0.174
319633,14TH ST @ MCMILLAN ST,14TH ST @ SNYDER ST,33.786177,-84.40429,33.786241,-84.401833,0.141
319634,14TH ST @ MCMILLAN ST,14TH ST @ SNYDER ST,33.786249,-84.404236,33.786143,-84.401267,0.171
319635,14TH ST @ MCMILLAN ST,14TH ST @ SNYDER ST,33.786249,-84.404236,33.786241,-84.401833,0.138
319636,14TH ST @ SNYDER ST,14TH ST @ ATLANTIC DR,33.786143,-84.401267,33.786137,-84.397808,0.199
319637,14TH ST @ SNYDER ST,14TH ST @ ATLANTIC DR,33.786241,-84.401833,33.786137,-84.397808,0.231
319638,14TH ST @ ATLANTIC DR,14TH ST @ BARNES ST,33.786137,-84.397808,33.78647,-84.394851,0.171
319639,14TH ST @ ATLANTIC DR,14TH ST @ BARNES ST,33.786137,-84.397808,33.786407,-84.394731,0.178
319640,14TH ST @ BARNES ST,14TH ST @ FOWLER ST,33.78647,-84.394851,33.786685,-84.393165,0.098
319641,14TH ST @ BARNES ST,14TH ST @ FOWLER ST,33.78647,-84.394851,33.786497,-84.393361,0.086
319642,14TH ST @ BARNES ST,14TH ST @ FOWLER ST,33.786407,-84.394731,33.786685,-84.393165,0.092
319643,14TH ST @ BARNES ST,14TH ST @ FOWLER ST,33.786407,-84.394731,33.786497,-84.393361,0.079
319644,14TH ST @ FOWLER ST,14TH ST @ SPRING ST,33.786685,-84.393165,33.786562,-84.389402,0.216
319645,14TH ST @ FOWLER ST,14TH ST @ SPRING ST,33.786497,-84.393361,33.786562,-84.389402,0.227
319646,14TH ST @ SPRING ST,SPRING ST @ 12TH ST,33.786562,-84.389402,33.783713,-84.389292,0.197
319647,SPRING ST @ 12TH ST,MIDTOWN STATION,33.783713,-84.389292,33.781355,-84.386353,0.235
319648,SPRING ST @ 12TH ST,MIDTOWN STATION,33.783713,-84.389292,33.78111,-84.386697,0.234
340371,PANTHERSVILLE RD @ BOULDERCREST RD,PANTHERSVILLE RD @ BRITTANY PARK LN,33.657818,-84.285697,33.662435,-84.282397,0.371
340372,PANTHERSVILLE RD @ BRITTANY PARK LN,PANTHERSVILLE RD @ FORK CREEK CHURCH RD,33.662435,-84.282397,33.666042,-84.28056,0.271
340373,PANTHERSVILLE RD @ FORK CREEK CHURCH RD,PANTHERSVILLE RD @ JAGUAR DR,33.666042,-84.28056,33.667644,-84.279744,0.12
340374,PANTHERSVILLE RD @ JAGUAR DR,PANTHERSVILLE RD @ RIVER RD,33.667644,-84.279744,33.672799,-84.277819,0.373
340375,PANTHERSVILLE RD @ JAGUAR DR,PANTHERSVILLE RD @ RIVER RD,33.667644,-84.279744,33.67365,-84.277601,0.433
340376,PANTHERSVILLE RD @ RIVER RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,33.672799,-84.277819,33.675878,-84.277024,0.218
340377,PANTHERSVILLE RD @ RIVER RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,33.672799,-84.277819,33.676317,-84.277133,0.246
340378,PANTHERSVILLE RD @ RIVER RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,33.67365,-84.277601,33.675878,-84.277024,0.157
340379,PANTHERSVILLE RD @ RIVER RD,PANTHERSVILLE RD @ RIVER SUMMIT LN,33.67365,-84.277601,33.676317,-84.277133,0.186
340380,PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER TREE DR,33.675878,-84.277024,33.678806,-84.276599,0.204
340381,PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER TREE DR,33.675878,-84.277024,33.67927,-84.27625,0.239
340382,PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER TREE DR,33.676317,-84.277133,33.678806,-84.276599,0.175
340383,PANTHERSVILLE RD @ RIVER SUMMIT LN,PANTHERSVILLE RD @ RIVER TREE DR,33.676317,-84.277133,33.67927,-84.27625,0.21
340384,PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ ROVENA CT,33.678806,-84.276599,33.681472,-84.273459,0.258
340385,PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ ROVENA CT,33.678806,-84.276599,33.681347,-84.273502,0.25
340386,PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ ROVENA CT,33.67927,-84.27625,33.681472,-84.273459,0.221
340387,PANTHERSVILLE RD @ RIVER TREE DR,PANTHERSVILLE RD @ ROVENA CT,33.67927,-84.27625,33.681347,-84.273502,0.213
340388,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681472,-84.273459,33.692115,-84.272075,0.74
340389,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681472,-84.273459,33.692092,-84.272286,0.737
340390,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681472,-84.273459,33.690221,-84.272542,0.607
340391,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681472,-84.273459,33.689782,-84.27243,0.577
340392,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681472,-84.273459,33.685782,-84.272336,0.305
340393,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681347,-84.273502,33.692115,-84.272075,0.749
340394,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681347,-84.273502,33.692092,-84.272286,0.746
340395,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681347,-84.273502,33.690221,-84.272542,0.616
340396,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681347,-84.273502,33.689782,-84.27243,0.586
340397,PANTHERSVILLE RD @ ROVENA CT,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.681347,-84.273502,33.685782,-84.272336,0.314
340398,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692115,-84.272075,33.692115,-84.272075,0.0
340399,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692115,-84.272075,33.692092,-84.272286,0.012
340400,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692115,-84.272075,33.690221,-84.272542,0.134
340401,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692115,-84.272075,33.689782,-84.27243,0.162
340402,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692115,-84.272075,33.685782,-84.272336,0.438
340403,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692092,-84.272286,33.692115,-84.272075,0.012
340404,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692092,-84.272286,33.692092,-84.272286,0.0
340405,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692092,-84.272286,33.690221,-84.272542,0.13
340406,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692092,-84.272286,33.689782,-84.27243,0.16
340407,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.692092,-84.272286,33.685782,-84.272336,0.436
340408,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.690221,-84.272542,33.692115,-84.272075,0.134
340409,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.690221,-84.272542,33.692092,-84.272286,0.13
340410,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.690221,-84.272542,33.690221,-84.272542,0.0
340411,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.690221,-84.272542,33.689782,-84.27243,0.031
340412,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.690221,-84.272542,33.685782,-84.272336,0.307
340413,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.689782,-84.27243,33.692115,-84.272075,0.162
340414,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.689782,-84.27243,33.692092,-84.272286,0.16
340415,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.689782,-84.27243,33.690221,-84.272542,0.031
340416,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.689782,-84.27243,33.689782,-84.27243,0.0
340417,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.689782,-84.27243,33.685782,-84.272336,0.276
340418,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.685782,-84.272336,33.692115,-84.272075,0.438
340419,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.685782,-84.272336,33.692092,-84.272286,0.436
340420,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.685782,-84.272336,33.690221,-84.272542,0.307
340421,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.685782,-84.272336,33.689782,-84.27243,0.276
340422,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,33.685782,-84.272336,33.685782,-84.272336,0.0
340448,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.692115,-84.272075,33.694069,-84.271553,0.138
340449,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.692115,-84.272075,33.694227,-84.271929,0.146
340450,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.692092,-84.272286,33.694069,-84.271553,0.143
340451,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.692092,-84.272286,33.694227,-84.271929,0.149
340452,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.690221,-84.272542,33.694069,-84.271553,0.272
340453,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.690221,-84.272542,33.694227,-84.271929,0.279
340454,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.689782,-84.27243,33.694069,-84.271553,0.3
340455,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.689782,-84.27243,33.694227,-84.271929,0.308
340456,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.685782,-84.272336,33.694069,-84.271553,0.574
340457,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,PANTHERSVILLE RD @ 3073,33.685782,-84.272336,33.694227,-84.271929,0.584
340458,PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ GLEN HOLLOW DR,33.694069,-84.271553,33.69693,-84.271095,0.199
340459,PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ GLEN HOLLOW DR,33.694069,-84.271553,33.697262,-84.271384,0.221
340460,PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ GLEN HOLLOW DR,33.694227,-84.271929,33.69693,-84.271095,0.193
340461,PANTHERSVILLE RD @ 3073,PANTHERSVILLE RD @ GLEN HOLLOW DR,33.694227,-84.271929,33.697262,-84.271384,0.212
340462,PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 2929,33.69693,-84.271095,33.700233,-84.270437,0.231
340463,PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 2929,33.69693,-84.271095,33.700752,-84.270363,0.267
340464,PANTHERSVILLE RD @ GLEN HOLLOW DR,PANTHERSVILLE RD @ 2929,33.697262,-84.271384,33.700233,-84.270437,0.212
